pitches,onsets,durations,notes,staff_id,string,st3_dist_atk,st3_rests
"[62, 58, 55]",63269,187,"['d4', 'bf3', 'g3']",down,"[4, 5, 6]",193,395
[83],63656,4945,['b5'],center,[6],0,0
"[76, 71, 57]",63851,188,"['e5', 'b4', 'a3']",down,"[1, 2, 5]",582,0
[66],64039,187,['f#4'],down,[5],188,167
[87],64393,83,['ef6'],down,[1],354,5
[88],64481,82,['e6'],down,[1],88,0
[85],64563,80,['c#6'],down,[1],82,0
[84],64643,83,['c6'],down,[1],80,0
[82],64726,80,['bf5'],down,[2],83,0
[67],64806,95,['g4'],down,[3],80,5
[73],64906,95,['c#5'],down,[3],100,5
[83],65006,95,['b5'],down,[1],100,5
[84],65106,95,['c6'],down,[1],100,5
[81],65206,95,['a5'],down,[1],100,87
[67],65388,125,['g4'],down,[3],182,0
[58],65513,126,['bf3'],down,[5],125,4
[57],65643,125,['a3'],down,[5],130,0
[73],65768,125,['c#5'],down,[2],125,8
[77],65901,125,['f5'],down,[1],133,0
[68],66026,125,['g#4'],down,[3],125,5
[67],66156,125,['g4'],down,[3],130,0
[59],66281,125,['b3'],down,[5],125,1287
"[74, 64, 61]",67693,1150,"['d5', 'e4', 'c#4']",down,"[2, 4, 5]",1412,8
[67],68851,62,['g4'],down,[3],1158,0
[68],68913,63,['g#4'],down,[4],62,5
[70],68981,62,['bf4'],down,[4],68,208
[69],69251,117,['a4'],down,[4],270,8
[62],69376,117,['d4'],down,[5],125,0
[71],69493,120,['b4'],down,[3],117,5
[77],69618,120,['f5'],down,[2],125,125
[82],69863,113,['bf5'],down,[2],245,0
[75],69976,113,['ef5'],down,[3],113,0
[84],70089,112,['c6'],down,[2],113,0
[90],70201,268,['f#6'],down,[1],112,0
[89],70469,269,['f6'],down,[1],268,138
[92],70876,100,['g#6'],down,[1],407,0
[91],70976,100,['g6'],down,[1],100,0
[82],71076,100,['bf5'],down,[2],100,0
[73],71176,100,['c#5'],down,[4],100,0
[69],71276,100,['a4'],down,[5],100,5
[65],71381,100,['f4'],down,[6],105,0
[73],71481,100,['c#5'],down,[4],100,0
[71],71581,100,['b4'],down,[4],100,320
[54],72001,112,['f#3'],down,[6],420,0
[56],72113,113,['g#3'],down,[6],112,0
[62],72226,112,['d4'],down,[4],113,0
